,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
0,WETH-NYAN,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xF4EC6DC712E78D948B5aF3BE34E4De8a93f17A23,NYAN,0xeD3fB761414DA74b74F33e5c5a1f78104b188DfC,18.0,0x18Ac4f0B24f46C6E060Ac6102d9F9517C493844a
1,WETH-USDC,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x4E7c57461a23a973C5487F0658C660aa52Dd196D,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6.0,0x086f1f8799268d0308B81305EA9D5f5e622aAA4d
2,WETH-SUSHI,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x908221669C081a79b13F656f0F814C2c419167f9,SUSHI,0xd4d42F0b6DEF4CE0383636770eF773390d85c61A,18.0,0x929c2Ad7a4b22E4968ecB6B87c9698CEb20DdB3f
3,WBTC-WETH,WBTC,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,8.0,0x5471D65EEE567b393d7cFC0b7f132EfC74cC32f1,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xB81af0eE6959d437E3A29A94C89ecD04fE76171A
4,WETH-USDT,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x0907064c89B4a717AC33caD36318Ae0161E58E9e,USDT,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6.0,0xeb348420558B947E98C32ECa3E0C6DE85Ade0352
5,WETH-IMX,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x52778dc7916c4810E9a2682E7d1fe674b1Fd65ac,IMX,0x9c67eE39e3C4954396b9142010653F17257dd39C,18.0,0x164584419461C30f3d2692fD6a936E28eC282f56
6,No Supply-No Supply,No Supply,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xA64A370D077E42f496902CBfD7eF82e643C9502d,No Supply,0x9c67eE39e3C4954396b9142010653F17257dd39C,18.0,0x0280BaFd9f2A08827d6E933c832008Cf414A0A26
7,WETH-MIM,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xCd43695E650D8f56405fE262190483BCe774A8DE,MIM,0xFEa7a6a0B346362BF88A9e4A88416B77a57D6c2A,18.0,0x0fA1417668190ed8916a17f8867B2bf0E54C4280
8,SPELL-WETH,SPELL,0x3E6648C5a70A150A88bCE65F4aD4d506Fe15d2AF,18.0,0x4e3985931Aa4ce680A506f5B7302F670ec97428f,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x0Cf0eC28869367A4fe6B24A487991FaFF9788BF1
9,No Supply-No Supply,No Supply,0x3E6648C5a70A150A88bCE65F4aD4d506Fe15d2AF,18.0,0xb0d74C8dda0fdD70b64b9b78d212c42F0defC69C,No Supply,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x8758C8A1383Bf60F0E8ebc92C5E4693524e8939e
10,USDT-USDC,USDT,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6.0,0xd1A4A9cCe9f6AF30aDe0b15F0ABD38922868852b,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6.0,0x2B392AcA451909cb583Ea497dD7dc3eC415fd742
11,No Supply-No Supply,No Supply,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,18.0,0x2ce3E91C4844Bd121544D0F70a249C5b942bAbCc,No Supply,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6.0,0x68809540deC11F7c5F0b83f7688E159314649382
12,WBTC-WETH,WBTC,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,8.0,0xB6c4Db04B8f99750c07FF8529dd35174F64a4674,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x85726E58dDfF14b5bC7CFee7BF7EFd2B39CD31a2
13,WETH-USDC,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0x638F8E35F97F30eCe93D4ceB0eCe4Ed00bF0F7F1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6.0,0xA63C208d2Fbb9a46E86cD783dfa859cD0b38A51f
14,WETH-SWPR,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xBDEB3A7CCf96096aEA9CBf4f1A55D30cc1627540,SWPR,0xdE903E2712288A1dA82942DDdF2c20529565aC30,18.0,0x9c912D53522ccC6bf1687A5a6A2a79FeC8FFaC25
15,WETH-DAI,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xA290dd13CcaA4Eb195decCcF83EbC211cCF06f61,DAI,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,18.0,0x89F64D9af5Cc069C0859dCC49A5926271700Fe7D
16,WETH-IMX,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18.0,0xafcF39Df4c47F1DCcedF26B9c75Da6EBcfCe8840,IMX,0x9c67eE39e3C4954396b9142010653F17257dd39C,18.0,0x1c66266dDcb3A7a4dC0cf409FB86637208C390C5
