,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
0,WETH.e-WAVAX,WETH.e,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18.0,0x2cf6d41462afb16FA1F0a24c7403F061DFCCfC42,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x2A8Ed7BCB36fF71012866DEB5F5495e7d3343AB2
1,WAVAX-IMX.a,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x73Ca312dE3dE14ea748a5d8cf6812F079432BFD0,IMX.a,0xeA6887e4a9CdA1B77E70129E5Fba830CdB5cdDef,18.0,0x0fA0089b2F8F805f26852f292C510F49Ec81Eb4f
2,JOE-WAVAX,JOE,0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd,18.0,0x3eE05fEcD8168524A64412423AD0064840bC7bF8,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x44511eE51d46b5ce63483450289cC3fFc1646F34
3,PNG-WAVAX,PNG,0x60781C2586D68229fde47564546784ab3fACA982,18.0,0x01fac023D9912C2848643c640322dA9f272D26da,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x9C26Ab55Da13880043b1D3964eb68aC3BFE2765c
4,WAVAX-USDT.e,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x23F96987238d5d66Bc161c39C32e48ac274DDfD4,USDT.e,0xc7198437980c041c805A1EDcbA50c1Ce5db95118,6.0,0x5B22C8c5fCF874849528aF5Df9fb2A61a6c63D18
5,WBTC.e-WAVAX,WBTC.e,0x50b7545627a5162F82A992c33b87aDc75187B218,8.0,0x2257DD170436607B41b0Eb232e058688d4571251,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x181f53483B7c7e7c42360cDEC51C0a665a5f157d
6,WAVAX-IMX.a,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x8bbCd633410E7741cbA9242E18A45fa2f3Ac72C6,IMX.a,0xeA6887e4a9CdA1B77E70129E5Fba830CdB5cdDef,18.0,0x473ED8afd9C116D2582Ec4099771a3e68D64A11F
7,No Supply-No Supply,No Supply,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x4C4B8cEe9bd08a206Bb47B93C9d96c24620A6dF5,No Supply,0xeA6887e4a9CdA1B77E70129E5Fba830CdB5cdDef,18.0,0x8AF54979ab00Edd5A63c24afC415C07442788839
8,JOE-WAVAX,JOE,0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd,18.0,0x0BDCa7c8aF84EEE24a8FA1bD1C04F1fF1EEf3bA7,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x6a58B51bB97fD3042e48f86e9FeE0bA84a4a6919
9,YAK-WAVAX,YAK,0x59414b3089ce2AF0010e7523Dea7E2b35d776ec7,18.0,0x510e55Ef1E78FdEe7b934930b1dACe6B788E2B5c,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0xc84A7732903996Dc61576D3706d044760Cfc1502
