,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
0,WBTC-WETH,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8.0,0xbD8b5a6127BCD5AdE9341a45eBC1189677872A6f,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x3CC353b5E1D8AbaF3D75D7dED1B11d27596dEcCE
1,USDC-WETH,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6.0,0x95E73848e9D6f5f11640CAa5a24676fed6fe6bBF,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xa0FAF591525EEA90A9beB31F5eA8aC4ABdD231cD
2,USDC-USDT,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6.0,0xf3364405DdcAA6ba11908eEeaFD24d02172b743e,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6.0,0xe16b334330675B152D1e2d55a2960e156CF65F11
3,WETH-DUCK,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x18fC8d3BD8fb5bC7c279988f82435a6Ee9d15508,DUCK,0xC0bA369c8Db6eB3924965e5c4FD0b4C1B91e305F,18.0,0x05E826f2BD2010cFB54B64258444C1A906167D19
4,DPI-WETH,DPI,0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,18.0,0xb4a40Ff3E16a55e12cC261dbCb8666BC5b9da20E,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xC1193c3b4DB2e14E7f2b773F33983D909c104784
5,WETH-USDT,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x565EeAf364E1E45167C12E304117cDf7c2fCcfD0,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6.0,0x2e333adf7F758A9f1D1570969d211689d000f8b5
6,DAI-WETH,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18.0,0x50cF0e62FD47E4A5c050a415586d9952C04B0ae6,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xf63EF41eE1550a71E3e7f978Fc2e26aA091C10ef
7,UNI-WETH,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18.0,0x5B102629fb7ebAA1A3F755568E1bd9cEFF14e7B0,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xc6FFDa3727BEBBbE44442B76A1f5345e38886E38
8,IMX-WETH,IMX,0x7b35Ce522CB72e4077BaeB96Cb923A5529764a00,18.0,0xC200886944599721649549816F490EFB20368F21,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xE3180027C2555995C57c5f42e4eaBdBf034e0f29
9,No Supply-No Supply,No Supply,0x7b35Ce522CB72e4077BaeB96Cb923A5529764a00,18.0,0x5909E9f6cb6232A9b6C62DC29a500E65D20971A6,No Supply,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x99b39f800C88E0333203635aFEB3f8D727B39104
