,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
0,WFTM-TOMB,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0xd3dDa16AaFaBc8bAfB331b58D84f57648E46707F,TOMB,0x6c021Ae822BEa943b2E66552bDe1D2696a53fbB7,18.0,0xD9Bbf3d73C01068bE0D9D84Dc974B3c1FB6d4304
1,USDC-OXD,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,6.0,0x69448CB492D39A54F2Cd4A56Bdf92EF8c34479dB,OXD,0xc165d941481e68696f43EE6E99BFB2B23E0E3114,18.0,0xD59c07DAb51dDA595b2409Fe09524f0a6064263E
2,WFTM-FRAX,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0xd75C6a216E38234B8Ec9379335Ebac7f0abE17A4,FRAX,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,18.0,0x230433d2a24845aCB9755111CfC1d08fF5b61F52
3,USDC-SYN,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,6.0,0x0A4e958754EAB8a86dE848dD478Db352117F7d33,SYN,0xE55e19Fb4F2D85af758950957714292DAC1e25B2,18.0,0xFbaBED5c01F4520825e76a927e65BA1B025F09e5
4,WFTM-SEX,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0x2c6dcE2b750ECd927525c93ac4e87bde2C730e0F,SEX,0xD31Fcd1f7Ba190dBc75354046F6024A9b86014d7,18.0,0x081E352ac453A3dfbBd1aC55F3dDd7D9A3E6e499
5,FXS-FRAX,FXS,0x7d016eec9c25232b01F23EF992D98ca97fc2AF5a,18.0,0x50291C68f205a8CE88923e79816f2103153DAb22,FRAX,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,18.0,0xe0E926a1b7Ae6eb1E91dD3Adc5aBEE02f7e038B7
6,WFTM-SCREAM,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0x7c816FfbED9E38D2c17198301305bA4a95804cb2,SCREAM,0xe0654C8e6fd4D733349ac7E09f6f23DA256bF475,18.0,0xd98d1666D77BBB6596B1fF0Ee576FeB9d3AFc6a5
7,IB-WFTM,IB,0x00a35FD824c717879BF370E70AC6868b95870Dfb,18.0,0x6a38ca5dc2D0209C0891aBe00081d8F177cABc31,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0xdff409965C8d7625d228188602a54a56ad08bc0B
8,HND-WFTM,HND,0x10010078a54396F62c96dF8532dc2B4847d47ED3,18.0,0x03637F43DE501A0cB20E7F093DA8805556C761ac,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0x0A27e5F686226C7a870eD5972fbB684b22e455da
9,LQDR-WFTM,LQDR,0x10b620b2dbAC4Faa7D7FFD71Da486f5D44cd86f9,18.0,0x7F040C3220c56a9579150a137caa2750579D9E71,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18.0,0xBEB06B528672cD75260b1A172fbf17f5975810E0
