,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
0,WMATIC-WETH,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,18.0,0xF9310d2FfF25C0d4A24FC87bad353bAcB6402379,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xaDE5DBF019a63E82e6CE7212FFf5666Afb696831
1,No Supply-No Supply,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,6.0,0x2362A532906C497D0D770E81DdDc5Ad96Ff6532a,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,18.0,0x39f255cf066B2A11426587D7714FaB7Afa580e0b
2,No Supply-No Supply,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,6.0,0xcc730B95BB772E825094160C5F3d41A3d83B31d3,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0x142F292040084e63F28a699A6ce76c13e9c86391
3,No Supply-No Supply,cxADA,0x64875Aaa68d1d5521666C67d692Ee0B926b08b2F,18.0,0x23006F489a00cbb2bb197Bb971a7A4CEbC84Ca7A,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,18.0,0x1c1e82E7dc35c290d4925CA0233d4f912A606EcD
4,WMATIC-WETH,cxDOGE,0x9Bd9aD490dD3a52f096D229af4483b94D63BE618,18.0,0x9c30bc3129403Db2c91864B51fcE36B414A82bAb,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,18.0,0x20CFF4D46942aBe7037Cad6db15BF40896C41E4C
5,USDC-WETH,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,6.0,0x430A4053B08D979DB252B761E1330b88A45D1239,cxETH,0xfe4546feFe124F30788c4Cc1BB9AA6907A7987F9,18.0,0xf39C1e5722Ca9cC8BB0916E026Eb02E6ca4F6500
6,WETH-USDT,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,18.0,0x0887097b64BDd5C23d9D65D28e1124b8f689F3D7,JPYC,0x431D5dfF03120AFA4bDf332c61A6e1766eF37BDB,6.0,0xd39c4d61484a959D82906B6e2Cf8e7dD25b93E8e
7,WMATIC-QUICK,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,18.0,0xD02E1389A4baA2db47792c151cee698DF1a1048F,cxBTC,0xD30DC92b8ec0fa8de625768d208f51A93C10aFF2,18.0,0xDF3402aE260a2CAa70c6bc64d26f1d993b16Ae76
8,WBTC-WETH,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,8.0,0xC8F4B8584DDfadAc84C54147c3057F233Dc86162,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,18.0,0xc829A9be1855b1bCC1e7b9E522e7053759D19AbC
9,USDC-USDT,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x14e0A4a06DFF74b7d118c607A0Ec2f9b2b099CB1,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0xF10DfDF66D32F6a0ac258b6B0a67FBe5634CBDE6
10,USDC-DAI,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,6.0,0xeC3D0c4edF9452A6c9468801AA967113aC36f0c5,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x3970a1C56BAA17EdCA9aD840Fc6e83dA669b2eCe
11,DAI-USDT,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,18.0,0x4EdceDa71311aB077D93845Dd68DFfD36a7e5A40,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6.0,0x29D9A197237480A3bA02519e309cb62c7bBCF12b
12,WETH-DAI,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,18.0,0x3339333d34E995E7ad4d99eE38C854D77b5fe17e,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xD397383454644F15ff439F6Ae956A406f9621c4D
